DATE,STAID,SOUID,TG,Q_TG
2022-10-10,13,911121,148,0
2022-10-11,13,911121,143,0
2022-10-12,13,911121,158,0
2022-10-13,13,911121,128,0
2022-10-14,13,911121,136,0
2022-10-15,13,911121,150,0
2022-10-16,13,911121,157,0
2022-10-17,13,911121,147,0
2022-10-18,13,911121,138,0
2022-10-19,13,911121,141,0
2022-10-20,13,911121,139,0
2022-10-21,13,911121,158,0
2022-10-22,13,911121,147,0
2022-10-23,13,911121,132,0
2022-10-24,13,911121,138,0
2022-10-25,13,911121,126,0
2022-10-26,13,911121,119,0
2022-10-27,13,911121,119,0
2022-10-28,13,911121,125,0
2022-10-29,13,911121,134,0
2022-10-30,13,911121,138,0
2022-10-31,13,911121,123,0
2022-11-01,13,911121,112,0
2022-11-02,13,911121,97,0
2022-11-03,13,911121,107,0
2022-11-04,13,911121,108,0
2022-11-05,13,911121,59,0
2022-11-06,13,911121,75,0
2022-11-07,13,911121,71,0
2022-11-08,13,911121,64,0
2022-11-09,13,911121,80,0
2022-11-10,13,911121,100,0
2022-11-11,13,911121,75,0
2022-11-12,13,911121,63,0
2022-11-13,13,911121,61,0
2022-11-14,13,911121,99,0
2022-11-15,13,911121,62,0
2022-11-16,13,911121,82,0
2022-11-17,13,911121,70,0
2022-11-18,13,911121,55,0
2022-11-19,13,911121,61,0
2022-11-20,13,911121,57,0
2022-11-21,13,911121,35,0
2022-11-22,13,911121,18,0
2022-11-23,13,911121,25,0
2022-11-24,13,911121,27,0
2022-11-25,13,911121,38,0
2022-11-26,13,911121,45,0
2022-11-27,13,911121,18,0
2022-11-28,13,911121,20,0
2022-11-29,13,911121,41,0
2022-11-30,13,911121,44,0
2022-12-01,13,911121,39,0
2022-12-02,13,911121,27,0
2022-12-03,13,911121,24,0
2022-12-04,13,911121,28,0
2022-12-05,13,911121,40,0
2022-12-06,13,911121,27,0
2022-12-07,13,911121,11,0
2022-12-08,13,911121,-4,0
2022-12-09,13,911121,-6,0
2022-12-10,13,911121,6,0
2022-12-11,13,911121,-15,0
2022-12-12,13,911121,-74,0
2022-12-13,13,911121,-89,0
2022-12-14,13,911121,-9,0
2022-12-15,13,911121,-20,0
2022-12-16,13,911121,0,0
2022-12-17,13,911121,-1,0
2022-12-18,13,911121,-54,0
2022-12-19,13,911121,-19,0
2022-12-20,13,911121,2,0
2022-12-21,13,911121,12,0
2022-12-22,13,911121,14,0
2022-12-23,13,911121,22,0
2022-12-24,13,911121,59,0
2022-12-25,13,911121,52,0
2022-12-26,13,911121,43,0
2022-12-27,13,911121,56,0
2022-12-28,13,911121,35,0
2022-12-29,13,911121,27,0
2022-12-30,13,911121,34,0
2022-12-31,13,911121,56,0
2023-01-01,13,911121,66,0
2023-01-02,13,911121,65,0
2023-01-03,13,911121,36,0
2023-01-04,13,911121,47,0
2023-01-05,13,911121,78,0
2023-01-06,13,911121,45,0
2023-01-07,13,911121,25,0
2023-01-08,13,911121,32,0
2023-01-09,13,911121,48,0
2023-01-10,13,911121,29,0
2023-01-11,13,911121,5,0
2023-01-12,13,911121,31,0
2023-01-13,13,911121,21,0
2023-01-14,13,911121,33,0
2023-01-15,13,911121,59,0
2023-01-16,13,911121,21,0
2023-01-17,13,911121,-2,0
2023-01-18,13,911121,11,0
2023-01-19,13,911121,0,0
2023-01-20,13,911121,-22,0
2023-01-21,13,911121,-19,0
2023-01-22,13,911121,-13,0
2023-01-23,13,911121,-25,0
2023-01-24,13,911121,-16,0
2023-01-25,13,911121,-31,0
2023-01-26,13,911121,-27,0
2023-01-27,13,911121,-6,0
2023-01-28,13,911121,-6,0
2023-01-29,13,911121,6,0
2023-01-30,13,911121,-17,0
2023-01-31,13,911121,6,0
2023-02-01,13,911121,16,0
2023-02-02,13,911121,50,0
2023-02-03,13,911121,31,0
2023-02-04,13,911121,61,0
2023-02-05,13,911121,14,0
2023-02-06,13,911121,27,0
2023-02-07,13,911121,-6,0
2023-02-08,13,911121,-22,0
2023-02-09,13,911121,-10,0
2023-02-10,13,911121,-5,0
2023-02-11,13,911121,0,0
2023-02-12,13,911121,30,0
2023-02-13,13,911121,41,0
2023-02-14,13,911121,53,0
2023-02-15,13,911121,54,0
2023-02-16,13,911121,48,0
2023-02-17,13,911121,88,0
2023-02-18,13,911121,107,0
2023-02-19,13,911121,87,0
2023-02-20,13,911121,75,0
2023-02-21,13,911121,73,0
2023-02-22,13,911121,66,0
2023-02-23,13,911121,61,0
2023-02-24,13,911121,69,0
2023-02-25,13,911121,68,0
2023-02-26,13,911121,3,0
2023-02-27,13,911121,-4,0
2023-02-28,13,911121,5,0
2023-03-01,13,911121,35,0
2023-03-02,13,911121,58,0
2023-03-03,13,911121,33,0
2023-03-04,13,911121,70,0
2023-03-05,13,911121,43,0
2023-03-06,13,911121,34,0
2023-03-07,13,911121,48,0
2023-03-08,13,911121,42,0
2023-03-09,13,911121,109,0
2023-03-10,13,911121,86,0
2023-03-11,13,911121,70,0
2023-03-12,13,911121,43,0
2023-03-13,13,911121,100,0
2023-03-14,13,911121,109,0
2023-03-15,13,911121,60,0
2023-03-16,13,911121,56,0
2023-03-17,13,911121,103,0
2023-03-18,13,911121,114,0
2023-03-19,13,911121,106,0
2023-03-20,13,911121,104,0
2023-03-21,13,911121,97,0
2023-03-22,13,911121,125,0
2023-03-23,13,911121,121,0
2023-03-24,13,911121,133,0
2023-03-25,13,911121,107,0
2023-03-26,13,911121,76,0
2023-03-27,13,911121,45,0
2023-03-28,13,911121,43,0
2023-03-29,13,911121,42,0
2023-03-30,13,911121,108,0
2023-03-31,13,911121,88,0
2023-04-01,13,911121,84,0
2023-04-02,13,911121,81,0
2023-04-03,13,911121,63,0
2023-04-04,13,911121,28,0
2023-04-05,13,911121,41,0
2023-04-06,13,911121,56,0
2023-04-07,13,911121,77,0
2023-04-08,13,911121,76,0
2023-04-09,13,911121,81,0
2023-04-10,13,911121,81,0
2023-04-11,13,911121,94,0
2023-04-12,13,911121,104,0
2023-04-13,13,911121,83,0
2023-04-14,13,911121,47,0
2023-04-15,13,911121,69,0
2023-04-16,13,911121,72,0
2023-04-17,13,911121,81,0
2023-04-18,13,911121,103,0
2023-04-19,13,911121,109,0
2023-04-20,13,911121,90,0
2023-04-21,13,911121,120,0
2023-04-22,13,911121,144,0
2023-04-23,13,911121,153,0
2023-04-24,13,911121,125,0
2023-04-25,13,911121,99,0
2023-04-26,13,911121,105,0
2023-04-27,13,911121,118,0
2023-04-28,13,911121,100,0
2023-04-29,13,911121,151,0
2023-04-30,13,911121,150,0
2023-05-01,13,911121,132,0
2023-05-02,13,911121,110,0
2023-05-03,13,911121,133,0
2023-05-04,13,911121,145,0
2023-05-05,13,911121,168,0
2023-05-06,13,911121,166,0
2023-05-07,13,911121,175,0
2023-05-08,13,911121,159,0
2023-05-09,13,911121,176,0
2023-05-10,13,911121,152,0
2023-05-11,13,911121,86,0
2023-05-12,13,911121,121,0
2023-05-13,13,911121,144,0
2023-05-14,13,911121,113,0
2023-05-15,13,911121,128,0
2023-05-16,13,911121,113,0
2023-05-17,13,911121,91,0
2023-05-18,13,911121,105,0
2023-05-19,13,911121,137,0
2023-05-20,13,911121,161,0
2023-05-21,13,911121,183,0
2023-05-22,13,911121,195,0
2023-05-23,13,911121,188,0
2023-05-24,13,911121,152,0
2023-05-25,13,911121,186,0
2023-05-26,13,911121,196,0
2023-05-27,13,911121,191,0
2023-05-28,13,911121,171,0
2023-05-29,13,911121,169,0
2023-05-30,13,911121,172,0
2023-05-31,13,911121,175,0
2023-06-01,13,911121,187,0
2023-06-02,13,911121,191,0
2023-06-03,13,911121,188,0
2023-06-04,13,911121,171,0
2023-06-05,13,911121,165,0
2023-06-06,13,911121,176,0
2023-06-07,13,911121,201,0
2023-06-08,13,911121,183,0
2023-06-09,13,911121,186,0
2023-06-10,13,911121,190,0
2023-06-11,13,911121,194,0
2023-06-12,13,911121,186,0
2023-06-13,13,911121,181,0
2023-06-14,13,911121,177,0
2023-06-15,13,911121,175,0
2023-06-16,13,911121,170,0
2023-06-17,13,911121,179,0
2023-06-18,13,911121,199,0
2023-06-19,13,911121,243,0
2023-06-20,13,911121,243,0
2023-06-21,13,911121,248,0
2023-06-22,13,911121,261,0
2023-06-23,13,911121,247,0
2023-06-24,13,911121,190,0
2023-06-25,13,911121,204,0
2023-06-26,13,911121,221,0
2023-06-27,13,911121,233,0
2023-06-28,13,911121,176,0
2023-06-29,13,911121,194,0
2023-06-30,13,911121,215,0
2023-07-01,13,911121,193,0
